"","id","Name","Game-Calling Runs (Pitch Value)","Game-Calling Runs (Predicted Pitch Value)"
"1",150229,"A. J. Pierzynski",3.6,9.1
"2",408042,"Gerald Laird",-1.2,-0.2
"3",408045,"Joe Mauer",0,0
"4",408242,"Wil Nieves",-1.7,0.2
"5",424325,"David Ross",13.7,0.4
"6",425772,"Jeff Mathis",22.2,4
"7",425784,"Rene Rivera",2.1,-0.6
"8",425877,"Yadier Molina",-26.8,-12.4
"9",425900,"Dioner Navarro",-20.2,9.2
"10",430910,"Brayan Pena",6,2
"11",431145,"Russell Martin",40.6,12.3
"12",434563,"Carlos Ruiz",-17.3,-15.2
"13",434567,"Geovany Soto",-8.8,1.4
"14",435064,"Bobby Wilson",35.9,1.2
"15",435263,"Brian McCann",14.4,-3.6
"16",435559,"Kurt Suzuki",2.7,10
"17",444489,"Manny Pina",-29.4,-9.9
"18",446192,"Adam Moore",-1.5,-1.6
"19",446225,"Ed Easley",0.3,-0.3
"20",446308,"Matt Wieters",18.7,24.2
"21",446653,"Jose Lobaton",-10.8,-22.3
"22",446868,"Wilkin Castillo",3.5,-0.2
"23",449786,"Carlos Corporan",-5,-6.9
"24",450317,"J. P. Arencibia",-1,0.2
"25",451109,"Brett Hayes",-5.5,1.7
"26",451705,"Alberto Rosario",-1.5,1
"27",452095,"Tyler Flowers",25.4,-10.3
"28",452672,"Ryan Hanigan",6.6,4.2
"29",454560,"A. J. Ellis",-16.5,8.9
"30",455104,"Chris Iannetta",1.6,12.7
"31",455117,"Martin Maldonado",13.5,4
"32",455139,"Robinson Chirinos",-67.3,-20.5
"33",455755,"Chris Stewart",-12.9,-1.5
"34",456078,"Welington Castillo",-62.3,-29.2
"35",456124,"Erik Kratz",-1,0.8
"36",457454,"Jarrod Saltalamacchia",1.1,10.6
"37",457574,"Jordan Pacheco",-6.7,2.4
"38",457762,"Bryan Anderson",-1.2,-0.7
"39",457763,"Buster Posey",28.6,-8.2
"40",460003,"Taylor Teagarden",3.2,0.5
"41",460026,"Nick Hundley",-72,-16.6
"42",460077,"Drew Butera",-22.7,-4.1
"43",460269,"Chris Gimenez",1.7,-3
"44",461865,"Andrew Romine",-0.4,-0.1
"45",465041,"Francisco Cervelli",11.9,14.1
"46",467092,"Wilson Ramos",-17.1,-2.6
"47",471083,"Miguel Montero",25.3,12
"48",473724,"Matt McBride",-3.1,1.3
"49",474233,"Hank Conger",-2.4,-2.5
"50",476192,"Johnny Monell",-3.2,0.1
"51",488671,"Alex Avila",0.2,-17.3
"52",488771,"Jason Castro",-39.4,-2.1
"53",488810,"Tony Cruz",-6.2,-3.4
"54",488912,"Tuffy Gosewisch",24.9,3.3
"55",489232,"Anthony Recker",-10.3,0.6
"56",489365,"Josh Thole",-0.7,-3.7
"57",491696,"Jesus Sucre",-33.9,-7.5
"58",492802,"Juan Graterol",4.5,-5.2
"59",500207,"Jhonatan Solano",2.2,-0.7
"60",500871,"Eduardo Escobar",0,-0.1
"61",501647,"Wilin Rosario",3.6,0.5
"62",502023,"Travis Tartamella",0.6,0.4
"63",502182,"Steve Clevenger",-1.6,0.8
"64",502213,"Nevin Ashley",-0.1,0
"65",502374,"Michael McKenry",13.7,3.6
"66",502570,"Rocky Gale",0.9,-1.9
"67",506702,"Sandy Leon",67.8,48.9
"68",506747,"Francisco Pena",-3.2,-0.8
"69",506997,"Tony Sanchez",1.7,-0.2
"70",516472,"Francisco Arcia",-16.7,-4.8
"71",516949,"Hector Sanchez",-15.1,-1.3
"72",518542,"Juan Centeno",-29.3,1
"73",518595,"Travis d'Arnaud",3.1,2
"74",518700,"Eric Fryer",1.5,5.2
"75",518735,"Yasmani Grandal",-19.2,-17.5
"76",518960,"Jonathan Lucroy",-30.2,9.4
"77",519023,"Devin Mesoraco",-38.3,-7.4
"78",519083,"Derek Norris",13.4,-7.2
"79",519222,"Austin Romine",-7.6,10.7
"80",519237,"Cameron Rupp",-12.9,13.1
"81",519390,"Stephen Vogt",34.4,13.2
"82",519425,"Jackson Williams",1.6,0.7
"83",521692,"Salvador Perez",15.5,8.1
"84",541608,"Ramon Cabrera",3.6,12.9
"85",542194,"Christian Bethancourt",-0.5,-1.4
"86",542208,"Carlos Perez",-5.4,1.5
"87",542513,"Tomas Telis",0.1,3.7
"88",542908,"Jett Bandy",18.2,3.7
"89",542942,"Carson Blair",-11,-0.8
"90",542963,"Rob Brantly",-8.7,-1.8
"91",543089,"Taylor Davis",0.5,-2.9
"92",543148,"Tim Federowicz",-10.5,-0.2
"93",543228,"Yan Gomes",-49,-4.5
"94",543302,"Chris Herrmann",-20.5,0.1
"95",543308,"John Hicks",9.3,9.4
"96",543309,"Kyle Higashioka",13.6,-4.5
"97",543362,"A. J. Jimenez",4.1,0.5
"98",543376,"Caleb Joseph",29.8,-14
"99",543432,"Ryan Lavarnway",5,-2.7
"100",543510,"James McCann",3.8,-6.4
"101",543592,"Austin Nola",11.6,4.2
"102",543877,"Christian Vazquez",-41.3,-44.7
"103",545358,"Max Stassi",23,-2.2
"104",547172,"Tony Wolters",21.6,-5.9
"105",547379,"Roberto Perez",64,-22.1
"106",553869,"Elias Diaz",-36.3,-13.1
"107",553882,"Omar Narvaez",-55.5,-24.8
"108",553902,"Willians Astudillo",-3.5,-3.5
"109",554054,"Alfredo Gonzalez",1.6,-0.6
"110",571466,"Tucker Barnhart",-11.6,-22.8
"111",571467,"Steven Baron",3.7,0.8
"112",571657,"Kyle Farmer",-5.1,0
"113",571679,"David Freitas",7.2,2.2
"114",571851,"Spencer Kieboom",-5.5,-5.7
"115",571912,"Luke Maile",49.4,17.1
"116",571974,"J. R. Murphy",-2.6,4.6
"117",572000,"Mike Ohlman",-7.4,-1
"118",572033,"Josh Phegley",-14.8,-7.2
"119",572180,"Andrew Susac",-11.3,-2.3
"120",572287,"Mike Zunino",50.2,1.6
"121",572863,"Dustin Garneau",16.1,2.8
"122",575929,"Willson Contreras",-24.1,-22.6
