"","id","Name","Game-Calling Runs (Pitch Value)","Game-Calling Runs (Predicted Pitch Value)"
"1",425772,"Jeff Mathis",-6.2,-0.4
"2",425784,"Rene Rivera",-10.5,0
"3",425877,"Yadier Molina",-9.2,-6.1
"4",435559,"Kurt Suzuki",-9,-1.9
"5",444489,"Manny Pina",0.7,4.1
"6",446653,"Jose Lobaton",-0.8,1.1
"7",455117,"Martin Maldonado",-2.6,-2.6
"8",455139,"Robinson Chirinos",-4,-2.7
"9",457763,"Buster Posey",-4.3,-6.9
"10",460077,"Drew Butera",-6,2
"11",467092,"Wilson Ramos",-11.9,-1.6
"12",488671,"Alex Avila",0.4,-1.3
"13",488771,"Jason Castro",-2.1,1.9
"14",506702,"Sandy Leon",13.7,4.5
"15",518595,"Travis d'Arnaud",7.7,1.3
"16",518735,"Yasmani Grandal",8,-4.2
"17",518960,"Jonathan Lucroy",-1.1,2.5
"18",519222,"Austin Romine",-0.7,2.3
"19",519390,"Stephen Vogt",0.2,1.1
"20",521692,"Salvador Perez",-1.4,1.8
"21",542963,"Rob Brantly",0.8,0.8
"22",543228,"Yan Gomes",6.4,-5.3
"23",543308,"John Hicks",-0.9,0.6
"24",543309,"Kyle Higashioka",5.8,-0.8
"25",543432,"Ryan Lavarnway",4.6,2.2
"26",543510,"James McCann",-10.7,-6
"27",543592,"Austin Nola",5.5,2.7
"28",543877,"Christian Vazquez",2.4,0.3
"29",545358,"Max Stassi",6.8,-0.7
"30",547172,"Tony Wolters",8.3,1
"31",547379,"Roberto Perez",9.6,-1
"32",553869,"Elias Diaz",-4.9,-3.7
"33",553882,"Omar Narvaez",-9.3,-11
"34",553902,"Willians Astudillo",-6.5,-2.2
"35",571466,"Tucker Barnhart",-7.3,-2.2
"36",571912,"Luke Maile",5,1.6
"37",572287,"Mike Zunino",12.4,0.3
"38",572863,"Dustin Garneau",0.3,-1.4
"39",575929,"Willson Contreras",-6.8,-2.9
"40",592200,"Curt Casali",3.9,6.6
"41",592407,"Bryan Holaday",0.2,1
"42",592663,"J. T. Realmuto",-10.3,0.8
"43",593590,"Webster Rivas",-8.4,-1.2
"44",595284,"Andrew Knapp",8.1,-3.5
"45",595453,"Chad Wallach",-1.7,-2.1
"46",595751,"Jorge Alfaro",-14.8,-8.1
"47",595956,"Cam Gallagher",4,0.4
"48",595978,"Austin Hedges",0.3,-1.6
"49",596117,"Garrett Stubbs",0.1,0.3
"50",596142,"Gary Sanchez",-6.2,-0.3
"51",600474,"Pedro Severino",10.3,-0.4
"52",605131,"Austin Barnes",8.2,1.2
"53",605170,"Victor Caratini",0.2,0.6
"54",605244,"Aramis Garcia",3.3,2
"55",605421,"Michael Perez",-14.3,-4.6
"56",606213,"Yermin Mercedes",-0.4,0
"57",606988,"Grayson Greiner",3.7,-0.5
"58",606992,"Eric Haase",6.6,3.9
"59",607345,"Kevan Smith",7.8,-2.2
"60",607732,"Jacob Stallings",12.5,4.8
"61",608348,"Carson Kelly",-3.1,2
"62",608422,"Jose Godoy",5.6,-0.5
"63",608596,"Tom Murphy",-6.3,-1.4
"64",608700,"Kevin Plawecki",-0.8,-0.4
"65",620443,"Luis Torrens",1.7,0.5
"66",621493,"Taylor Ward",-0.6,-0.8
"67",621512,"Tomas Nido",6.8,1.6
"68",621532,"Anthony Bemboom",4.8,0.8
"69",624431,"Jose Trevino",1,4.7
"70",624512,"Reese McGuire",-0.4,0
"71",624513,"Dom Nunez",5.3,3.1
"72",641470,"Zack Collins",-8.9,3.6
"73",641598,"Mitch Garver",13.7,3.5
"74",641680,"Jonah Heim",7.3,-3.3
"75",641924,"Jacob Nottingham",1.2,0.3
"76",641929,"Joseph Odom",-0.6,0.1
"77",642082,"Chance Sisco",-4.9,2.3
"78",642336,"Francisco Mejia",-2.4,5.1
"79",642851,"Austin Wynns",-10.2,-1.9
"80",643376,"Danny Jansen",5.3,1.4
"81",644433,"Chadwick Tromp",3.2,0.8
"82",645305,"Ali Sanchez",-0.3,0.6
"83",656180,"Riley Adams",2.7,0.9
"84",656494,"Taylor Gushue",0.5,0.2
"85",656577,"Alex Jackson",-7.4,0.2
"86",656883,"Jakson Reetz",1.1,0.1
"87",657136,"Connor Wong",-0.7,-0.4
"88",660688,"Keibert Ruiz",0,0.5
"89",661388,"William Contreras",2.1,-0.8
"90",662139,"Daulton Varsho",-1.5,-1.7
"91",663698,"Joey Bart",-0.3,0.4
"92",663728,"Cal Raleigh",-5.9,1.8
"93",663886,"Tyler Stephenson",7.4,3.1
"94",664119,"Austin Allen",0.4,0.7
"95",664731,"P. J. Higgins",4.2,1.9
"96",664850,"Patrick Mazeika",1.3,2.5
"97",664874,"Seby Zavala",1.6,0.4
"98",665561,"Rafael Marchan",-0.3,0.4
"99",665861,"Sebastian Rivero",-3.2,-1.8
"100",666163,"Ben Rortvedt",-4.8,-2.4
"101",667674,"Jack Kruger",0.3,-0.1
"102",668663,"Tres Barrera",1,4.7
"103",668670,"Jake Rogers",-2.5,0
"104",668800,"Andrew Knizner",1.4,3.3
"105",669134,"Luis Campusano",1.8,-0.9
"106",669221,"Sean Murphy",2.8,1.1
"107",669257,"Will Smith",-7.9,-0.1
"108",672386,"Alejandro Kirk",-10.2,-4.5
"109",680777,"Ryan Jeffers",3.4,4.3
